2025-11-24 22:18:43 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.38s
2025-11-24 22:37:25 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:37:26 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:37:27 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:37:27.942567", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.7408299446105957, "latest_price": 24926.0}}
2025-11-24 22:37:27 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:37:27.943625", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.7408299446105957, "success": true}
2025-11-24 22:37:27 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.74s
2025-11-24 22:43:14 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:43:15 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:43:16 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:43:16.552062", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.3310167789459229, "latest_price": 24907.75}}
2025-11-24 22:43:16 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:43:16.553063", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.3310167789459229, "success": true}
2025-11-24 22:43:16 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.33s
2025-11-24 22:43:16 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:44:35 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:44:36 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:44:38 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:44:38.600671", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.4371047019958496, "latest_price": 24910.0}}
2025-11-24 22:44:38 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:44:38.601624", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.4371047019958496, "success": true}
2025-11-24 22:44:38 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.44s
2025-11-24 22:44:38 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:46:32 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:46:33 | INFO     | YahooRSI | Client object created successfully
2025-11-24 22:46:34 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:46:34.943902", "type": "DATA_DUMP", "symbol": "/NQ", "data": {"period": 59107.0, "interval": "1m", "data_points_count": 40000, "fetch_duration": 1.2270689010620117, "latest_price": 24903.25}}
2025-11-24 22:46:34 | INFO     | YahooRSI | {"timestamp": "2025-11-24T22:46:34.944914", "type": "PERFORMANCE", "operation": "DATA_FETCH", "duration_seconds": 1.2270689010620117, "success": true}
2025-11-24 22:46:34 | INFO     | YahooRSI | ✅ Fetched 40000 data points for /NQ in 1.23s
2025-11-24 22:46:34 | ERROR    | YahooRSI | FATAL ERROR during backup of data: stat: path should be string, bytes, os.PathLike or integer, not DataFrame
2025-11-24 22:47:18 | INFO     | YahooRSI | Attempting authentication with Schwab API...
2025-11-24 22:47:19 | INFO     | YahooRSI | Client object created successfully
